org_id,name,year,month,report_count
5,Bare Roots Landscape Solutions,2023,11,1
10,Envisorco,2024,3,1
10,Envisorco,2024,4,1
10,Envisorco,2024,5,1
10,Envisorco,2024,7,2
10,Envisorco,2024,8,1
10,Envisorco,2024,9,5
10,Envisorco,2024,10,3
13,Green Acres Fertilizer Co. LLC,2023,5,1
13,Green Acres Fertilizer Co. LLC,2023,11,1
14,GreenEarth SE,2024,2,1
15,Greenscape Inc - Raleigh,2023,1,1
15,Greenscape Inc - Raleigh,2023,3,24
15,Greenscape Inc - Raleigh,2023,4,87
15,Greenscape Inc - Raleigh,2023,5,113
15,Greenscape Inc - Raleigh,2023,6,288
15,Greenscape Inc - Raleigh,2023,7,350
15,Greenscape Inc - Raleigh,2023,8,468
15,Greenscape Inc - Raleigh,2023,9,246
15,Greenscape Inc - Raleigh,2023,10,281
15,Greenscape Inc - Raleigh,2023,11,150
15,Greenscape Inc - Raleigh,2023,12,119
15,Greenscape Inc - Raleigh,2024,1,318
15,Greenscape Inc - Raleigh,2024,2,157
15,Greenscape Inc - Raleigh,2024,5,10
15,Greenscape Inc - Raleigh,2024,6,3
15,Greenscape Inc - Raleigh,2024,7,33
15,Greenscape Inc - Raleigh,2024,8,27
15,Greenscape Inc - Raleigh,2024,9,9
15,Greenscape Inc - Raleigh,2024,10,7
21,Level Green,2022,11,5
21,Level Green,2023,1,15
21,Level Green,2023,2,2
21,Level Green,2023,3,12
21,Level Green,2023,4,43
21,Level Green,2023,5,80
21,Level Green,2023,6,56
21,Level Green,2023,7,41
21,Level Green,2023,8,202
21,Level Green,2023,9,41
21,Level Green,2023,10,48
21,Level Green,2023,11,8
21,Level Green,2023,12,42
21,Level Green,2024,1,34
21,Level Green,2024,2,50
21,Level Green,2024,3,88
21,Level Green,2024,4,157
21,Level Green,2024,5,270
21,Level Green,2024,6,175
21,Level Green,2024,7,233
21,Level Green,2024,8,167
21,Level Green,2024,9,127
21,Level Green,2024,10,96
21,Level Green,2024,11,176
21,Level Green,2024,12,62
25,"Mainscape, Inc.",2023,7,1
25,"Mainscape, Inc.",2023,8,21
25,"Mainscape, Inc.",2023,11,3
25,"Mainscape, Inc.",2024,2,3
25,"Mainscape, Inc.",2024,7,1
27,Michael Hatcher & Associates,2022,10,1
27,Michael Hatcher & Associates,2023,8,1
27,Michael Hatcher & Associates,2024,2,1
27,Michael Hatcher & Associates,2024,6,1
28,Midwest Landscape Industries,2024,1,1
28,Midwest Landscape Industries,2024,7,1
28,Midwest Landscape Industries,2024,8,2
29,Mullin,2023,5,1
29,Mullin,2023,8,1
32,Padilla Group,2023,9,7
32,Padilla Group,2023,10,1
32,Padilla Group,2023,11,4
33,Priority Landscape,2022,10,3
33,Priority Landscape,2022,11,2
33,Priority Landscape,2022,12,1
33,Priority Landscape,2023,3,1
33,Priority Landscape,2023,4,24
33,Priority Landscape,2023,5,49
33,Priority Landscape,2023,6,36
33,Priority Landscape,2023,7,13
33,Priority Landscape,2023,8,20
34,Postcard Perfect Ltd.,2023,6,4
34,Postcard Perfect Ltd.,2024,2,10
34,Postcard Perfect Ltd.,2024,3,78
34,Postcard Perfect Ltd.,2024,4,113
34,Postcard Perfect Ltd.,2024,5,86
34,Postcard Perfect Ltd.,2024,6,60
34,Postcard Perfect Ltd.,2024,7,60
34,Postcard Perfect Ltd.,2024,8,88
34,Postcard Perfect Ltd.,2024,9,7
34,Postcard Perfect Ltd.,2024,10,10
34,Postcard Perfect Ltd.,2024,11,297
34,Postcard Perfect Ltd.,2024,12,35
36,R&S Property Services,2023,1,4
36,R&S Property Services,2023,2,2
36,R&S Property Services,2023,3,2
36,R&S Property Services,2023,6,1
36,R&S Property Services,2023,7,36
36,R&S Property Services,2023,8,13
36,R&S Property Services,2024,3,1
36,R&S Property Services,2024,4,3
36,R&S Property Services,2024,6,2
36,R&S Property Services,2024,8,15
36,R&S Property Services,2024,9,2
37,"Rockaway, Inc.",2022,10,25
37,"Rockaway, Inc.",2022,11,3
37,"Rockaway, Inc.",2022,12,7
37,"Rockaway, Inc.",2023,1,21
37,"Rockaway, Inc.",2023,2,66
37,"Rockaway, Inc.",2023,3,62
37,"Rockaway, Inc.",2023,4,35
37,"Rockaway, Inc.",2023,5,87
37,"Rockaway, Inc.",2023,6,253
37,"Rockaway, Inc.",2023,7,152
37,"Rockaway, Inc.",2023,8,197
37,"Rockaway, Inc.",2023,9,235
37,"Rockaway, Inc.",2023,10,115
37,"Rockaway, Inc.",2023,11,50
37,"Rockaway, Inc.",2023,12,188
37,"Rockaway, Inc.",2024,1,80
37,"Rockaway, Inc.",2024,2,109
37,"Rockaway, Inc.",2024,3,46
37,"Rockaway, Inc.",2024,4,41
37,"Rockaway, Inc.",2024,5,63
37,"Rockaway, Inc.",2024,6,14
37,"Rockaway, Inc.",2024,7,13
37,"Rockaway, Inc.",2024,8,55
37,"Rockaway, Inc.",2024,9,118
37,"Rockaway, Inc.",2024,10,117
37,"Rockaway, Inc.",2024,11,65
37,"Rockaway, Inc.",2024,12,16
38,Siterecon Official,2022,9,60
38,Siterecon Official,2022,10,85
38,Siterecon Official,2022,11,102
38,Siterecon Official,2022,12,31
38,Siterecon Official,2023,1,45
38,Siterecon Official,2023,2,34
38,Siterecon Official,2023,3,73
38,Siterecon Official,2023,4,267
38,Siterecon Official,2023,5,249
38,Siterecon Official,2023,6,670
38,Siterecon Official,2023,7,259
38,Siterecon Official,2023,8,114
38,Siterecon Official,2023,9,107
38,Siterecon Official,2023,10,169
38,Siterecon Official,2023,11,86
38,Siterecon Official,2023,12,101
38,Siterecon Official,2024,1,158
38,Siterecon Official,2024,2,173
38,Siterecon Official,2024,3,278
38,Siterecon Official,2024,4,236
38,Siterecon Official,2024,5,430
38,Siterecon Official,2024,6,185
38,Siterecon Official,2024,7,269
38,Siterecon Official,2024,8,187
38,Siterecon Official,2024,9,2752
38,Siterecon Official,2024,10,94
38,Siterecon Official,2024,11,79
38,Siterecon Official,2024,12,10
51,JB Kline Landscaping,2023,7,1
51,JB Kline Landscaping,2023,8,8
51,JB Kline Landscaping,2023,9,6
51,JB Kline Landscaping,2023,10,4
51,JB Kline Landscaping,2023,11,1
51,JB Kline Landscaping,2023,12,1
51,JB Kline Landscaping,2024,2,1
51,JB Kline Landscaping,2024,6,4
51,JB Kline Landscaping,2024,7,111
51,JB Kline Landscaping,2024,8,16
51,JB Kline Landscaping,2024,9,14
51,JB Kline Landscaping,2024,10,30
51,JB Kline Landscaping,2024,11,11
51,JB Kline Landscaping,2024,12,2
55,Scythe Robotics,2023,3,1
55,Scythe Robotics,2023,4,11
55,Scythe Robotics,2023,5,2
55,Scythe Robotics,2023,6,8
55,Scythe Robotics,2023,7,14
55,Scythe Robotics,2023,8,31
55,Scythe Robotics,2023,9,7
55,Scythe Robotics,2023,10,15
55,Scythe Robotics,2023,11,9
55,Scythe Robotics,2023,12,28
55,Scythe Robotics,2024,1,2
55,Scythe Robotics,2024,2,4
55,Scythe Robotics,2024,3,8
55,Scythe Robotics,2024,4,6
55,Scythe Robotics,2024,5,4
